Date,ASIANPAINT.BO,AXISBANK.BO,BAJAJ-AUTO.BO,BAJFINANCE.BO,BAJAJFINSV.BO,BHARTIARTL.BO,DRREDDY.BO,HCLTECH.BO,HDFC.BO,HDFCBANK.BO,HINDUNILVR.BO,ICICIBANK.BO,INDUSINDBK.BO,INFY.BO,ITC.BO,KOTAKBANK.BO,LT.BO,M&M.BO,MARUTI.BO,NESTLEIND.BO,NTPC.BO,ONGC.BO,POWERGRID.BO,RELIANCE.BO,SBIN.BO,SUNPHARMA.BO,TCS.BO,TECHM.BO,TITAN.BO,ULTRACEMCO.BO
2019-01-01,1353.260498046875,626.7217407226562,2550.671142578125,2645.471923828125,6507.01806640625,292.2969665527344,2574.365478515625,469.0134887695313,1932.76025390625,1064.72607421875,1749.9759521484375,361.8821411132813,1585.9681396484375,621.7672119140625,257.82672119140625,1250.6759033203125,1365.0931396484375,759.6979370117188,7308.953125,10574.9208984375,107.0807876586914,129.86007690429688,176.06846618652344,1111.06298828125,299.3500061035156,422.7113342285156,1803.81787109375,676.430419921875,916.4470825195312,3988.264892578125
2019-01-02,1362.8291015625,618.1324462890625,2517.718017578125,2605.932373046875,6385.076171875,286.1226501464844,2564.3076171875,461.1396484375,1903.3304443359373,1054.066162109375,1731.4388427734375,362.5787353515625,1569.1072998046875,626.1171875,255.6846160888672,1240.2315673828125,1350.5592041015625,728.1748046875,7108.4296875,10554.98828125,105.8532943725586,128.68312072753906,172.10496520996094,1096.151123046875,293.8500061035156,429.7386169433594,1823.5406494140625,669.0988159179688,920.4977416992188,3977.029296875
2019-01-03,1366.3802490234375,607.1959838867188,2528.01611328125,2577.49755859375,6375.78466796875,286.4427795410156,2539.607177734375,462.16357421875,1861.7822265625,1047.273681640625,1734.6900634765625,361.4840698242188,1550.853759765625,624.4801025390625,254.22618103027344,1236.6834716796875,1319.83447265625,706.030029296875,7041.42578125,10698.4326171875,103.54270935058594,124.8470230102539,170.2553253173828,1081.734619140625,291.04998779296875,424.9073791503906,1798.2232666015625,649.5480346679688,917.5338134765624,3872.626708984375
2019-01-04,1366.5284423828125,619.0811767578125,2560.07958984375,2568.832763671875,6407.90625,295.0868530273437,2565.343017578125,455.0210876464844,1895.780517578125,1050.0006103515625,1727.7991943359375,363.77288818359375,1539.81201171875,618.1187744140625,255.9125061035156,1246.0284423828125,1315.431884765625,713.1007080078125,7074.169921875,10399.40234375,105.16734313964844,126.9830093383789,172.23707580566406,1088.9676513671875,297.5,422.4185180664063,1776.8887939453125,640.3366088867188,917.3856811523438,3889.331298828125
2019-01-07,1375.8995361328125,636.659423828125,2487.760986328125,2542.340087890625,6389.1220703125,296.7790832519531,2520.872314453125,458.141357421875,1895.6361083984373,1051.1162109375,1732.1181640625,365.7134094238281,1550.057861328125,627.847900390625,256.82403564453125,1246.8780517578125,1310.3662109375,716.4885864257812,7183.2529296875,10304.9052734375,107.15298461914062,128.63951110839844,174.74728393554688,1093.3271484375,295.70001220703125,419.7344665527344,1798.4130859375,646.2581787109375,932.1558837890624,3908.272705078125
2019-01-08,1382.2620849609375,650.0927734375,2518.98193359375,2524.811279296875,6441.82568359375,300.8038024902344,2534.479736328125,460.7741088867188,1884.33544921875,1042.613037109375,1718.43359375,378.3516845703125,1569.30615234375,626.6317749023438,259.0572814941406,1231.5863037109375,1308.4251708984375,711.5294189453125,7253.97119140625,10531.8046875,106.10601043701172,128.50872802734375,173.82247924804688,1093.8226318359375,305.1000061035156,436.42431640625,1794.99951171875,648.4671020507812,934.6751708984376,3892.512939453125
2019-01-09,1383.8896484375,669.2189331054688,2523.569091796875,2514.901611328125,6387.7236328125,306.5665283203125,2567.5615234375,458.33636474609375,1917.083740234375,1049.2320556640625,1730.6624755859375,380.1429138183594,1592.38427734375,632.2445678710938,264.98223876953125,1238.232666015625,1311.5496826171875,713.051513671875,7297.4677734375,10756.84375,105.5283660888672,126.8958511352539,173.6903533935547,1098.23193359375,305.04998779296875,436.6683044433594,1790.021484375,652.32080078125,941.0476684570312,3798.252685546875
2019-01-10,1378.6123046875,662.177734375,2545.19482421875,2505.68896484375,6362.89599609375,308.4874267578125,2563.272216796875,456.2642517089844,1903.3304443359373,1045.9349365234375,1733.2828369140625,377.8541259765625,1558.2147216796875,635.8929443359375,263.9339599609375,1220.692138671875,1316.331298828125,720.1221313476562,7219.3701171875,10914.244140625,106.68366241455078,125.15216827392578,172.7215118408203,1095.507080078125,304.6499938964844,433.2034606933594,1790.353515625,651.7098999023438,953.8914184570312,3797.656005859375
2019-01-11,1383.19921875,665.6734008789062,2540.560546875,2500.8583984375,6363.7451171875,305.5603332519531,2553.658447265625,458.5313415527344,1911.6495361328125,1047.2239990234375,1716.25,376.7096862792969,1507.4332275390625,639.588134765625,269.2664489746094,1220.5921630859375,1297.34716796875,715.6047973632812,7154.71142578125,10769.1279296875,106.53924560546876,126.15477752685548,171.09205627441406,1087.828125,302.54998779296875,432.569091796875,1746.546142578125,656.4096069335938,946.0369873046876,3746.648193359375
2019-01-14,1369.5860595703125,658.5822143554688,2527.781982421875,2530.48828125,6350.55712890625,303.5936889648437,2546.0166015625,457.0931091308594,1894.0013427734373,1041.6214599609375,1711.542724609375,371.584716796875,1476.248046875,655.6784057617188,268.2637634277344,1209.7979736328125,1263.0721435546875,711.4802856445312,7235.59521484375,10730.5048828125,104.8785171508789,125.10855865478516,169.5066375732422,1086.3914794921875,300.5,439.8403625488281,1720.423095703125,639.3966064453125,945.7406005859376,3755.89501953125
